DEPTH_WMSF (m),HALC (%),HSIG (cu),HSTO (in),HNEC (cps),HFEC (cps),HROM (g/cm3),HLEF (barns/e-),HBDC (g/cm3),HDEB (g/cm3),IMAGE_ID,ROCK_CLASS
367.5432,35.5771,18.355,0.4464,2608.1384,576.2552,2.135,4.0829,0.0146,2.1456,751.332_752.602_28,Grainstone
367.594,35.7932,18.375,0.4986,2648.6609,565.9668,2.1343,4.3697,0.0107,2.1422,751.332_752.602_30,Grainstone
367.6448,36.6637,18.6186,0.4501,2619.3235,572.2266,2.1487,4.4224,0.0162,2.1503,751.332_752.602_32,Grainstone
367.6956,35.9584,18.3661,0.427,2584.3938,560.9089,2.1666,4.4193,0.0234,2.1642,751.332_752.602_34,Grainstone
367.7464,35.4008,17.9365,0.4022,2670.0154,568.2479,2.1811,4.3112,0.0254,2.1718,751.332_752.602_36,Grainstone
367.7972,34.2406,18.322,0.4494,2656.073,557.5067,2.175,4.6065,0.0209,2.1739,751.332_752.602_38,Grainstone
367.848,32.4385,18.0356,0.5854,2640.8457,620.0996,2.1662,4.3951,0.0161,2.1732,751.332_752.602_40,Grainstone
367.8988,33.8225,17.9504,0.5184,2619.2126,586.2981,2.1773,4.1406,0.0198,2.1701,751.332_752.602_42,Grainstone
367.9496,36.2976,17.5425,0.4207,2640.4749,528.4885,2.1654,4.6521,0.0172,2.1746,751.332_752.602_44,Grainstone
368.0004,37.4473,17.579,0.3622,2677.2944,568.8641,2.18,4.3743,0.0162,2.1667,751.332_752.602_46,Grainstone
368.0512,36.7773,17.3586,0.4574,2655.7012,574.4512,2.1649,4.4716,0.0107,2.1668,751.332_752.602_48,Grainstone
368.102,36.4271,17.2473,0.4691,2684.2925,578.955,2.1663,4.4458,0.0113,2.1665,752.602_753.872_0,Grainstone
368.1528,35.3042,17.1077,0.4597,2664.5032,543.5987,2.1829,4.6593,0.015,2.1613,752.602_753.872_2,Grainstone
368.2036,34.367,17.4641,0.4378,2656.5354,563.8962,2.1653,5.193,0.0106,2.1683,752.602_753.872_4,Grainstone
368.2544,33.6371,17.4756,0.4817,2605.7029,639.9368,2.177,5.1148,0.0117,2.1711,752.602_753.872_6,Grainstone
368.3052,33.3279,17.5572,0.4904,2616.4094,591.449,2.1758,5.0273,0.0103,2.1742,752.602_753.872_8,Grainstone
368.356,32.335,16.8939,0.5408,2562.3201,586.3978,2.1662,4.9074,0.0087,2.1763,752.602_753.872_10,Grainstone
368.4068,33.8251,17.0074,0.5262,2581.4824,593.3406,2.164,4.3215,0.0079,2.1641,752.602_753.872_12,Grainstone
368.4576,34.6598,17.3031,0.5097,2699.4346,565.1414,2.1574,4.5863,0.0055,2.1641,752.602_753.872_14,Grainstone
368.5084,34.0212,17.2092,0.5425,2540.1182,562.6667,2.1615,4.3619,0.0073,2.1644,752.602_753.872_16,Grainstone
369.5244,34.9391,19.8473,0.3221,2673.3958,571.502,2.1511,4.4444,0.0119,2.1588,753.872_755.142_6,Grainstone
369.5752,35.833,19.9886,0.2902,2731.2776,595.8762,2.1616,4.2733,0.0123,2.1633,753.872_755.142_8,Grainstone
369.626,36.4989,19.0286,0.2941,2629.5488,613.4257,2.1705,4.283,0.0122,2.1691,753.872_755.142_10,Grainstone
369.6768,37.2399,18.5412,0.2812,2677.501,579.6111,2.1753,4.2481,0.0122,2.1745,753.872_755.142_12,Grainstone
369.7276,36.3609,18.8333,0.2674,2637.0701,599.7586,2.1678,3.9914,0.0098,2.1806,753.872_755.142_14,Grainstone
369.7784,35.1479,18.2281,0.269,2653.6287,575.9191,2.1654,4.4019,0.0087,2.1805,753.872_755.142_16,Grainstone
369.8292,34.2819,17.7298,0.3041,2704.3418,590.6667,2.1678,4.219,0.0082,2.182,753.872_755.142_18,Grainstone
369.88,32.5899,17.5052,0.3414,2612.5588,587.2587,2.1879,4.4274,0.0118,2.1774,753.872_755.142_20,Grainstone
369.9308,33.0954,16.8347,0.3016,2603.6577,573.3981,2.1797,4.5657,0.0106,2.1822,753.872_755.142_22,Grainstone
369.9816,34.394,17.0256,0.2367,2606.686,564.4868,2.2035,4.2641,0.0173,2.1871,753.872_755.142_24,Grainstone
370.0324,34.312,17.554,0.2416,2674.575,572.1118,2.2065,3.8098,0.0169,2.194,753.872_755.142_26,Grainstone
370.0832,34.4039,17.3053,0.2525,2699.5825,608.8544,2.1902,4.0017,0.0124,2.1996,753.872_755.142_28,Grainstone
370.134,34.0119,17.0427,0.2967,2722.1628,614.7947,2.1928,4.1632,0.0115,2.1969,753.872_755.142_30,Grainstone
370.1848,33.4181,17.1417,0.3522,2641.7908,578.3844,2.2037,4.6394,0.0155,2.203,753.872_755.142_32,Grainstone
370.2356,32.1156,17.0571,0.4161,2659.78,591.055,2.2047,4.9546,0.016,2.2066,753.872_755.142_34,Grainstone
370.2864,30.7066,17.0423,0.4817,2673.1567,586.2139,2.214,4.9632,0.0192,2.2085,753.872_755.142_36,Grainstone
370.3372,30.5699,16.8268,0.4953,2659.7725,571.1867,2.2088,5.277,0.0205,2.2067,753.872_755.142_38,Grainstone
370.388,32.0436,16.5318,0.4692,2674.6084,547.7943,2.2002,4.7821,0.0182,2.1943,753.872_755.142_40,Grainstone
370.4388,32.5835,16.041,0.5643,2694.4143,553.9256,2.1742,4.8283,0.013,2.1726,753.872_755.142_42,Grainstone
370.4896,36.0221,16.3115,0.4266,2637.5781,548.9356,2.1402,4.5684,0.0093,2.1476,753.872_755.142_44,Grainstone
370.5404,40.2989,16.7325,0.2271,2570.605,543.1095,2.1198,4.3454,0.0109,2.1256,753.872_755.142_46,Grainstone
370.5912,41.2024,17.3044,0.2285,2630.8479,532.8091,2.1098,4.4597,0.0124,2.1059,753.872_755.142_48,Grainstone
370.642,40.2609,17.9237,0.2761,2619.9431,560.6091,2.0939,3.6976,0.0131,2.0781,755.142_756.412_0,Grainstone
370.6928,40.1318,18.3514,0.2459,2568.9268,528.7857,2.0334,3.8982,0.0142,2.0638,755.142_756.412_2,Grainstone
370.7436,39.9573,18.862,0.2321,2628.0791,538.2336,2.0369,3.8672,0.0359,2.0765,755.142_756.412_4,Grainstone
370.7944,39.3365,18.9957,0.2038,2641.49,561.7772,2.1278,3.8181,0.0648,2.1166,755.142_756.412_6,Grainstone
370.8452,38.934,18.9199,0.2174,2602.4243,578.2844,2.1778,4.2053,0.0721,2.1731,755.142_756.412_8,Grainstone
370.896,38.0671,18.9226,0.2574,2604.9365,583.7054,2.2305,4.7031,0.0785,2.205,755.142_756.412_10,Grainstone
370.9468,36.7855,18.4175,0.258,2755.1516,582.8298,2.227,4.3861,0.0745,2.2057,755.142_756.412_12,Grainstone
370.9976,37.3335,17.8415,0.2366,2680.1453,583.4692,2.1851,4.03,0.0567,2.187,755.142_756.412_14,Grainstone
371.0484,37.3139,17.0172,0.273,2680.5532,599.3364,2.1313,3.8368,0.0215,2.1739,755.142_756.412_16,Grainstone
371.0992,36.936,17.0052,0.2504,2637.8767,566.8654,2.1218,3.9989,0.004,2.1742,755.142_756.412_18,Grainstone
371.15,37.386,17.0868,0.2756,2725.7136,587.4187,2.1607,4.1708,0.0066,2.1974,755.142_756.412_20,Grainstone
371.2008,37.7242,17.4438,0.2916,2671.1655,573.4724,2.2231,4.2291,0.0236,2.2167,755.142_756.412_22,Grainstone
371.2516,35.9272,16.8507,0.404,2542.541,591.4139,2.2409,3.5166,0.0306,2.2308,755.142_756.412_24,Grainstone
371.3024,35.1751,16.4124,0.5223,2684.906,540.2735,2.2298,4.0958,0.0297,2.2324,755.142_756.412_26,Grainstone
371.3532,35.0907,16.649,0.5118,2772.7869,602.6667,2.2234,4.7522,0.0331,2.2301,755.142_756.412_28,Grainstone
371.404,34.3569,17.2319,0.4338,2684,602.6667,2.2295,4.3808,0.0281,2.2228,755.142_756.412_30,Grainstone
371.4548,32.912,15.9096,0.6122,2604.9392,592.298,2.216,4.5133,0.0291,2.2137,755.142_756.412_32,Grainstone
371.5056,33.8083,16.8189,0.5516,2611.467,546.7413,2.1957,4.1916,0.0248,2.1987,755.142_756.412_34,Grainstone
371.5564,28.6827,16.5231,0.7344,2632.0535,613.2759,2.1809,3.7364,0.0207,2.1868,755.142_756.412_36,Grainstone
371.6072,30.003,17.1911,0.6148,2634.5869,605.9185,2.1782,3.9679,0.0217,2.1854,755.142_756.412_38,Grainstone
371.658,30.7238,18.3686,0.5756,2639.1929,536.1071,2.1945,4.2378,0.0269,2.1897,755.142_756.412_40,Grainstone
371.7088,31.5384,18.6499,0.5398,2625.7981,574.2533,2.198,3.9779,0.031,2.1921,755.142_756.412_42,Grainstone
371.7596,30.6731,18.5797,0.6313,2807.8291,554.2976,2.1921,3.9609,0.036,2.1879,755.142_756.412_44,Grainstone
371.8104,32.6813,19.1639,0.5787,2680.7053,563.6628,2.1764,3.9743,0.0351,2.1804,755.142_756.412_46,Grainstone
371.8612,32.9209,18.9281,0.5843,2624,578.5455,2.1694,3.5866,0.0313,2.1735,755.142_756.412_48,Grainstone
371.912,34.2031,18.6126,0.533,2625.3923,565.7563,2.1711,3.8702,0.0357,2.1724,756.412_757.682_0,Grainstone
371.9628,34.0046,18.4281,0.549,2641.5103,562.2119,2.1737,4.0011,0.0378,2.1723,756.412_757.682_2,Grainstone
372.0136,32.4727,17.9902,0.6454,2561.355,586.8405,2.176,4.002,0.0427,2.1686,756.412_757.682_4,Grainstone
372.0644,30.5023,17.344,0.8249,2595.9939,592.7552,2.163,4.0819,0.0442,2.1593,756.412_757.682_6,Grainstone
372.1152,30.2122,17.0672,0.9039,2680.2561,571.9628,2.1437,4.1599,0.0449,2.1465,756.412_757.682_8,Grainstone
372.166,32.7151,17.8163,0.7541,2680.3569,573.7431,2.1321,4.0786,0.0471,2.1345,756.412_757.682_10,Grainstone
372.2168,35.9171,18.1918,0.5691,2672.5586,564.8671,2.1281,4.1362,0.0566,2.1261,756.412_757.682_12,Grainstone
372.2676,39.0526,18.2205,0.4094,2684.2412,565.8232,2.1215,3.7882,0.0583,2.1184,756.412_757.682_14,Grainstone
372.3184,42.0004,18.6101,0.2494,2665.7266,587.4017,2.1091,4.1591,0.0567,2.1151,756.412_757.682_16,Packstone
372.3692,42.6596,18.5188,0.1679,2700.908,588.9019,2.1158,4.3455,0.0645,2.1112,756.412_757.682_18,Packstone
372.42,41.4152,17.8455,0.1263,2755.3193,584.2377,2.1106,4.1176,0.065,2.1096,756.412_757.682_20,Packstone
372.4708,41.2428,17.3211,-999.25,2717.5305,561.04,2.1049,3.8697,0.0654,2.1083,756.412_757.682_22,Packstone
372.5216,41.1259,17.2215,-999.25,2702.3904,557.2534,2.1077,3.9809,0.0651,2.1059,756.412_757.682_24,Packstone
372.5724,38.7327,16.7889,0.1505,2622.9744,577.1718,2.1047,3.9393,0.065,2.1096,756.412_757.682_26,Grainstone
372.6232,37.023,16.8161,0.2435,2619.572,551.262,2.1103,4.0827,0.0677,2.1166,756.412_757.682_28,Grainstone
372.674,36.5111,16.3468,0.303,2658.5176,559.3147,2.1311,4.4482,0.0741,2.1255,756.412_757.682_30,Grainstone
372.7248,34.448,15.9158,0.3748,2541.9758,544.8149,2.1382,4.3897,0.0716,2.1314,756.412_757.682_32,Grainstone
372.7756,34.7091,16.0717,0.3182,2582.5625,552.3647,2.1337,4.4099,0.0701,2.1293,756.412_757.682_34,Grainstone
372.8264,35.4249,17.2009,0.2982,2662.2998,571.8166,2.1201,4.5424,0.0671,2.1282,756.412_757.682_36,Grainstone
372.8772,34.3526,17.4218,0.357,2637.7415,570.4152,2.1241,4.4868,0.071,2.1319,756.412_757.682_38,Grainstone
372.928,35.9054,18.2395,0.273,2596.0327,630.5006,2.15,4.432,0.076,2.1378,756.412_757.682_40,Grainstone
372.9788,36.7602,18.2333,0.2422,2688.2935,612.7466,2.1419,4.7488,0.0749,2.1508,756.412_757.682_42,Grainstone
373.0296,36.4264,18.6335,0.2787,2694,601.3333,2.1601,4.2115,0.0791,2.1523,756.412_757.682_44,Grainstone
373.0804,37.4573,18.8118,0.296,2681.3333,594,2.1639,4.457,0.0785,2.1509,756.412_757.682_46,Grainstone
373.1312,38.0575,19.0818,0.3157,2662.8113,578.0326,2.135,4.4205,0.0737,2.1564,756.412_757.682_48,Grainstone
373.182,33.5166,18.2937,0.5941,2725.6365,597.1039,2.1685,3.9749,0.0819,2.152,757.682_758.952_0,Grainstone
373.2328,36.1091,17.3793,0.4723,2749.7871,555.0482,2.1546,4.0558,0.0794,2.1558,757.682_758.952_2,Grainstone
373.2836,37.6197,16.6029,0.3998,2677.6135,572.489,2.1466,3.9034,0.0805,2.154,757.682_758.952_4,Grainstone
373.3344,38.4577,16.6885,0.3071,2636.5076,570.9918,2.15,4.219,0.0808,2.1552,757.682_758.952_6,Grainstone
373.3852,37.3164,16.872,0.3269,2684.7529,564.1094,2.1595,4.3274,0.0854,2.1649,757.682_758.952_8,Grainstone
373.436,37.6991,16.714,0.2431,2747.9697,589.4545,2.1852,4.014,0.0961,2.168,757.682_758.952_10,Grainstone
373.4868,36.1352,16.2213,0.3193,2699.2876,620.1102,2.169,4.3323,0.093,2.1728,757.682_758.952_12,Grainstone
373.5376,37.4697,16.2265,0.2376,2602.4106,614.7225,2.1604,4.5937,0.0897,2.1749,757.682_758.952_14,Grainstone
373.5884,37.5489,16.4885,0.2497,2641.4265,598.8967,2.1918,4.4007,0.1014,2.172,757.682_758.952_16,Grainstone
373.6392,35.9645,16.8876,0.3245,2715.1409,593.567,2.1742,4.1105,0.0968,2.1739,757.682_758.952_18,Grainstone
373.69,35.2404,16.619,0.3764,2699.3481,577.6437,2.1641,4.162,0.0943,2.1709,757.682_758.952_20,Grainstone
373.7408,37.0746,16.218,0.3543,2667.7695,590.3399,2.1706,4.2592,0.0965,2.1714,757.682_758.952_22,Grainstone
373.7916,36.4155,16.2573,0.4405,2652.7148,610.4568,2.1809,4.2841,0.0986,2.1785,757.682_758.952_24,Grainstone
373.8424,34.5424,16.6877,0.5033,2711.0771,617.1641,2.186,4.1379,0.0968,2.1865,757.682_758.952_26,Grainstone
373.8932,34.0811,16.8564,0.4957,2756.4448,576.3586,2.1937,3.8137,0.0957,2.1893,757.682_758.952_28,Grainstone
373.944,34.3666,17.0538,0.4806,2727.1655,565.4825,2.1928,3.9851,0.0905,2.1883,757.682_758.952_30,Grainstone
373.9948,34.4822,17.2827,0.5202,2674.8325,589.5039,2.1813,3.8628,0.0862,2.1871,757.682_758.952_32,Grainstone
374.0456,34.2256,17.6322,0.5402,2601.2339,580.0762,2.1881,3.8665,0.0911,2.1822,757.682_758.952_34,Grainstone
374.0964,35.104,18.2752,0.3848,2612.8071,604.1824,2.1834,4.1486,0.0897,2.1811,757.682_758.952_36,Grainstone
374.1472,35.7709,17.8935,0.3217,2674.7939,597.147,2.1757,4.1343,0.0829,2.1804,757.682_758.952_38,Grainstone
374.198,35.8744,17.6089,0.3111,2620.3264,575.3543,2.1855,4.6543,0.0877,2.1773,757.682_758.952_40,Grainstone
374.2488,35.8698,17.4825,0.306,2627.3667,611.1091,2.1735,4.6892,0.0848,2.174,757.682_758.952_42,Grainstone
374.2996,34.7379,17.2993,0.3676,2634.6697,571.6457,2.1687,4.4251,0.085,2.1681,757.682_758.952_44,Grainstone
374.3504,35.5914,17.4125,0.3685,2660.4087,588.7039,2.1575,4.2735,0.0817,2.1648,757.682_758.952_46,Grainstone
374.4012,35.3139,17.1728,0.4041,2730.0972,553.8337,2.1667,4.0835,0.0834,2.1609,757.682_758.952_48,Grainstone
374.452,31.3359,16.4298,0.7198,2589.6667,565.021,2.1532,3.8405,0.0813,2.1627,758.952_760.222_0,Grainstone
374.5028,31.5848,16.7367,0.7537,2674.5193,609.7519,2.17,3.9402,0.0908,2.1608,758.952_760.222_2,Grainstone
374.5536,32.4096,16.5888,0.7816,2692.4631,585.7793,2.1601,4.0984,0.0881,2.1611,758.952_760.222_4,Grainstone
374.6044,30.539,16.1014,0.8167,2569.3193,587.6965,2.1614,4.0439,0.091,2.1596,758.952_760.222_6,Grainstone
374.6552,33.0245,17.011,0.6216,2552.8171,552.6876,2.157,4.2562,0.0892,2.1568,758.952_760.222_8,Grainstone
374.706,32.4233,16.859,0.604,2630.6667,498,2.1571,4.5768,0.0885,2.1513,758.952_760.222_10,Grainstone
374.7568,32.6652,17.1613,0.6331,2573.6392,588.0776,2.1411,4.2527,0.0805,2.1425,758.952_760.222_12,Grainstone
374.8076,35.4952,17.4014,0.4201,2580.8003,593.181,2.1263,4.1902,0.0763,2.1323,758.952_760.222_14,Grainstone
374.8584,36.388,17.8355,0.4028,2578.2949,544.7187,2.1184,4.2109,0.0724,2.1277,758.952_760.222_16,Grainstone
374.9092,38.1701,18.1854,0.3561,2641.9536,579.8975,2.1261,4.1914,0.0755,2.1262,758.952_760.222_18,Grainstone
374.96,40.4887,19.0852,0.3076,2699.3799,555.3124,2.1301,4.2452,0.078,2.1261,758.952_760.222_20,Grainstone
375.0108,39.7888,18.8732,0.3904,2722.752,558.1956,2.1236,4.0709,0.0768,2.1256,758.952_760.222_22,Grainstone
375.0616,40.4446,18.4873,0.3975,2684.4919,526.8987,2.1236,4.0642,0.0789,2.1223,758.952_760.222_24,Grainstone
379.2272,37.921,17.0556,0.3797,2735.2712,587.8446,2.1729,4.5777,0.0692,2.1699,762.762_764.032_38,Grainstone
379.278,39.2546,16.897,0.3328,2678.1001,567.7719,2.1664,4.6286,0.0705,2.1717,762.762_764.032_40,Grainstone
379.3288,38.5872,16.7412,0.3414,2767.0361,545.1129,2.1725,4.4783,0.0711,2.172,762.762_764.032_42,Grainstone
379.3796,38.0409,16.864,0.3417,2733.0349,609.9301,2.1774,4.3893,0.0738,2.1744,762.762_764.032_44,Grainstone
379.4304,35.5072,16.6617,0.4084,2738.2861,598.2837,2.1742,4.5791,0.0731,2.1771,762.762_764.032_46,Grainstone
379.4812,36.5035,16.4711,0.363,2748.6365,585.3427,2.1781,4.7785,0.0697,2.1762,762.762_764.032_48,Grainstone
379.532,37.1586,16.0198,0.353,2804.1304,566.142,2.1736,4.3829,0.0654,2.1778,764.032_765.302_0,Grainstone
379.5828,37.4575,16.0273,0.3242,2648.8535,590.4385,2.1845,3.9086,0.0694,2.1748,764.032_765.302_2,Grainstone
379.6336,39.4503,16.4175,0.2559,2717.3333,586,2.1785,4.1195,0.0663,2.1729,764.032_765.302_4,Grainstone
379.6844,39.8259,16.834,0.2547,2772,530.6667,2.1669,3.9801,0.0623,2.1709,764.032_765.302_6,Grainstone
379.7352,37.802,17.014,0.3039,2666.1001,587.4443,2.1761,4.8505,0.0662,2.1696,764.032_765.302_8,Grainstone
379.786,37.0256,16.8604,0.3869,2707.1018,590.6185,2.1669,5.1348,0.0643,2.1738,764.032_765.302_10,Grainstone
379.8368,37.4126,16.9858,0.3413,2676.0466,619.3179,2.179,4.2875,0.0685,2.1688,764.032_765.302_12,Grainstone
379.8876,35.9169,17.2475,0.3429,2770.5874,551.1764,2.1634,4.4213,0.0648,2.1642,764.032_765.302_14,Grainstone
379.9384,35.2831,17.4976,0.3889,2720.8181,562.2844,2.1482,4.3064,0.0591,2.1633,764.032_765.302_16,Grainstone
379.9892,35.9191,17.3371,0.3442,2656.5767,544.169,2.17,4.0947,0.067,2.1593,764.032_765.302_18,Grainstone
380.04,36.2124,16.983,0.3276,2710.9697,545.8788,2.1647,4.242,0.0634,2.1602,764.032_765.302_20,Grainstone
380.0908,35.845,15.9685,0.3314,2644.5107,617.816,2.1498,4.4021,0.058,2.1628,764.032_765.302_22,Grainstone
380.1416,36.3854,15.5152,0.2919,2659.7151,627.2999,2.1667,4.0693,0.0643,2.1632,764.032_765.302_24,Grainstone
380.1924,36.7722,15.5712,0.3029,2643.1006,616.3477,2.1729,3.8099,0.065,2.169,764.032_765.302_26,Grainstone
380.2432,35.2916,15.4775,0.3919,2630.9946,579.8096,2.1654,4.0254,0.0627,2.1762,764.032_765.302_28,Grainstone
380.294,35.1393,15.5208,0.4155,2621.3596,590.2352,2.1783,4.1508,0.0657,2.1786,764.032_765.302_30,Grainstone
380.3448,34.3387,15.6122,0.46,2661.4233,556.2654,2.1875,4.1115,0.0701,2.1743,764.032_765.302_32,Grainstone
380.3956,33.4151,15.8809,0.5085,2659.7544,543.77,2.1621,4.2617,0.0637,2.168,764.032_765.302_34,Grainstone
380.4464,32.8679,16.7435,0.4905,2673.4856,556.3384,2.1554,4.6473,0.0637,2.1627,764.032_765.302_36,Grainstone
380.4972,33.1535,17.4398,0.4642,2695.4583,545.3768,2.1635,4.5233,0.065,2.1657,764.032_765.302_38,Grainstone
380.548,35.0541,17.5937,0.4297,2654.9172,544.9546,2.1829,4.1715,0.0699,2.1665,764.032_765.302_40,Grainstone
380.5988,37.3439,17.6362,0.3939,2600.2061,570.3745,2.1602,4.0673,0.062,2.1608,764.032_765.302_42,Grainstone
380.6496,38.064,17.3109,0.4288,2600.3616,589.2044,2.1365,4.2531,0.0544,2.1552,764.032_765.302_44,Grainstone
380.7004,37.7916,16.905,0.4841,2674.7231,571.1166,2.1515,5.0701,0.0557,2.1494,764.032_765.302_46,Grainstone
380.7512,36.9564,16.8824,0.5715,2728.6731,580.4902,2.1589,5.2419,0.0568,2.1433,764.032_765.302_48,Grainstone
380.802,33.6765,16.3948,0.7329,2720.5745,594.9523,2.1224,4.3002,0.0472,2.1339,765.302_766.572_0,Grainstone
380.8528,33.3095,16.1745,0.7771,2693.698,584.6609,2.1122,4.4367,0.0426,2.1238,765.302_766.572_2,Grainstone
380.9036,33.019,15.8448,0.8197,2631.5947,593.0915,2.1219,4.6182,0.0477,2.1269,765.302_766.572_4,Grainstone
380.9544,32.1891,15.7311,0.81,2594.8765,578.8201,2.1378,4.5789,0.0535,2.1365,765.302_766.572_6,Grainstone
381.0052,33.4012,16.5723,0.7133,2695.5522,558.8726,2.1481,4.3043,0.0569,2.1425,765.302_766.572_8,Grainstone
381.056,33.221,16.748,0.728,2665.9976,560.7256,2.143,4.6362,0.0548,2.1412,765.302_766.572_10,Grainstone
381.1068,32.4622,16.6942,0.7141,2701.7058,561.8595,2.1342,4.8115,0.0538,2.1311,765.302_766.572_12,Grainstone
381.1576,32.755,17.4203,0.6688,2669.3708,567.9918,2.1176,4.8056,0.051,2.1167,765.302_766.572_14,Grainstone
381.2084,33.0365,17.7239,0.7227,2624.1719,553.9632,2.0965,4.8268,0.0488,2.1039,765.302_766.572_16,Grainstone
381.2592,34.2962,18.4053,0.707,2593.8481,544,2.0924,4.5144,0.0465,2.094,765.302_766.572_18,Grainstone
381.31,31.7909,17.7036,0.9688,2627.5789,565.8947,2.0887,4.5337,0.0442,2.0915,765.302_766.572_20,Grainstone
381.3608,32.2909,17.7357,0.8245,2712.5693,567.5485,2.0932,4.6631,0.0468,2.0884,765.302_766.572_22,Grainstone
381.4116,33.892,18.1362,0.7091,2670.7712,586.2484,2.0857,3.9399,0.0439,2.0872,765.302_766.572_24,Grainstone
381.4624,31.3813,17.437,0.829,2607.1318,593.6744,2.0837,3.6725,0.0404,2.088,765.302_766.572_26,Grainstone
381.5132,28.8397,16.2421,0.9326,2675.9468,551.5964,2.091,4.0625,0.037,2.0973,765.302_766.572_28,Grainstone
381.564,28.5196,15.6492,0.8976,2751.5125,583.6188,2.1171,3.9815,0.0408,2.1081,765.302_766.572_30,Grainstone
381.6148,28.2701,14.7916,0.9813,2699.8481,652.8971,2.1202,4.1969,0.0372,2.1182,765.302_766.572_32,Grainstone
381.6656,29.743,15.4673,0.762,2667.5251,547.4982,2.1209,4.5037,0.0353,2.1257,765.302_766.572_34,Grainstone
381.7164,30.696,15.8444,0.7723,2661.7488,640.7468,2.1318,5.0352,0.0373,2.1351,765.302_766.572_36,Grainstone
381.7672,29.4465,14.9346,0.9375,2699.9788,593.451,2.148,4.964,0.0425,2.1449,765.302_766.572_38,Grainstone
381.818,28.2998,14.76,0.9003,2667.7056,628.031,2.1558,4.4054,0.0465,2.1492,765.302_766.572_40,Grainstone
381.8688,29.1547,13.7184,1.1287,2626.4949,547.7906,2.1446,4.8032,0.0429,2.1501,765.302_766.572_42,Grainstone
381.9196,29.3539,13.9972,1.1016,2668.312,595.415,2.1448,4.5961,0.0442,2.1521,765.302_766.572_44,Grainstone
381.9704,28.9936,14.7839,0.9561,2704.7148,573.5765,2.1598,4.2888,0.0456,2.158,765.302_766.572_46,Grainstone
382.0212,29.061,14.4224,0.8931,2686.7354,586.1448,2.1725,4.5355,0.0484,2.1686,765.302_766.572_48,Grainstone
382.072,29.6358,13.6506,1.0489,2658.6667,585.3333,2.1812,5.5134,0.0463,2.1765,766.572_767.842_0,Grainstone
382.1228,28.6623,15.1488,0.9209,2694.6667,580,2.1877,4.7793,0.045,2.1739,766.572_767.842_2,Grainstone
382.1736,28.7878,15.82,0.8381,2646.0156,589.1157,2.1614,4.8006,0.0351,2.1718,766.572_767.842_4,Grainstone
382.2244,29.0637,16.1313,0.7263,2644.196,579.0588,2.1592,4.3801,0.0355,2.1664,766.572_767.842_6,Grainstone
382.2752,28.5545,17.0889,0.7111,2597.1106,561.0021,2.1684,4.0728,0.036,2.1646,766.572_767.842_8,Grainstone
382.326,27.3678,17.6129,0.7556,2685.8281,595.7792,2.1596,4.1634,0.0378,2.17,766.572_767.842_10,Grainstone
382.3768,27.3798,18.0825,0.803,2640.4167,607.1667,2.1798,4.2682,0.0447,2.1753,766.572_767.842_12,Grainstone
382.4276,29.2757,18.5926,0.6451,2642.1689,597.3366,2.1833,4.5365,0.0474,2.1888,766.572_767.842_14,Grainstone
382.4784,30.3329,17.6481,0.5741,2631.7258,573.9771,2.2101,4.8525,0.0553,2.1955,766.572_767.842_16,Grainstone
382.5292,31.4035,17.7409,0.5419,2646.3284,561.2173,2.2009,5.0069,0.0551,2.1967,766.572_767.842_18,Grainstone
382.58,32.519,18.2382,0.505,2631.7356,631.7667,2.1892,5.0057,0.0501,2.1869,766.572_767.842_20,Grainstone
382.6308,34.9845,17.7652,0.3688,2588.4805,595.0948,2.1725,4.767,0.0419,2.1729,766.572_767.842_22,Grainstone
382.6816,36.8489,17.8954,0.3372,2687.4944,555.3325,2.1558,4.207,0.033,2.1669,766.572_767.842_24,Grainstone
382.7324,37.8891,18.0415,0.2944,2657.7087,512.6079,2.1654,4.409,0.0324,2.167,766.572_767.842_26,Grainstone
382.7832,38.5124,18.1453,0.2939,2688.7581,551.3055,2.1817,4.7061,0.0327,2.1674,766.572_767.842_28,Grainstone
382.834,38.5934,19.3781,0.2632,2642.2168,559.308,2.161,4.3625,0.0246,2.1672,766.572_767.842_30,Grainstone
382.8848,38.6989,19.5936,0.2816,2623.8562,550.3007,2.1606,4.6168,0.0254,2.1637,766.572_767.842_32,Grainstone
382.9356,37.1828,19.3105,0.3755,2628.6804,596.2179,2.162,4.2775,0.024,2.1669,766.572_767.842_34,Grainstone
382.9864,34.3964,19.3172,0.4824,2613.3987,628.3967,2.179,4.1004,0.0229,2.1702,766.572_767.842_36,Grainstone
383.0372,33.8499,18.8083,0.4806,2704.9927,580.4436,2.1713,4.6336,0.016,2.1773,766.572_767.842_38,Grainstone
383.088,33.0484,18.4114,0.56,2610.5295,529.9282,2.1834,4.549,0.0153,2.181,766.572_767.842_40,Grainstone
383.1388,31.2223,16.6837,0.8689,2642.0042,589.1814,2.1873,4.4082,0.0121,2.1924,766.572_767.842_42,Grainstone
383.1896,29.3416,14.5902,1.2544,2700.8999,590.0654,2.178,4.8712,0.0076,2.1966,766.572_767.842_44,Grainstone
383.2404,29.8023,14.5889,1.236,2698.2056,564.0734,2.1984,4.4391,0.0083,2.2036,766.572_767.842_46,Grainstone
383.2912,31.3403,15.8369,0.9912,2722.4558,552.4608,2.2023,4.3196,0.0092,2.1978,766.572_767.842_48,Grainstone
